
('2019-06-02 04:12:09','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:12:53','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:12:54','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:12:54','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:12:54','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:12:54','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:13:04','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:13:27','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:18:22','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:18:38','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:18:50','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
('2019-06-02 04:19:05','127.0.0.1:80','bema.local','127.0.0.1','Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:67.0) Gecko/20100101 Firefox/67.0','','','/index.php','GET')<=(datetime,server,hostname,client,agent,referrer,query,self,method)
